,hyponym,hypernym,proposed_label
6440,depot,dod organization,0.0
6441,a list,a minimum,0.0
6442,a list,a minimum,0.0
6443,a list,a minimum,0.0
6444,a list,a minimum,0.0
6445,non dod agency of federal,cooperation,0.0
6446,state,cooperation,2.0
6447,local government,cooperation,0.0
6448,personnel,variable cost over time,0.0
6449,utility,variable cost over time,0.0
6451,machinery,personal property,2.0
6452,device,personal property,0.0
6453,apparatus,personal property,2.0
6454,equipment,it,0.0
6455,military exchange,authorized activity,0.0
6456,the design of the mark,issue,0.0
6457,name,mark,0.0
6458,active duty personnel,beneficiary of the mhs,0.0
6459,dependent,beneficiary of the mhs,0.0
6460,retire personnel,beneficiary of the mhs,0.0
6461,grant,t,2.0
6462,cooperative agreement,t,2.0
6463,preventive care,health service,0.0
6464,problem intervention,health service,2.0
6465,multi service markets,health service,1.0
6466,graduate medical education,usuhs,0.0
6467,infrastructure management of ci,management oversight,2.0
6468,protective and quarantine measure for crew,potentially expose patient,2.0
6469,medical personnel,potentially expose patient,0.0
6470,individual,potentially expose patient,0.0
6471,presentation before congress,enterprise throughout the ppbe process,2.0
6472,military contingency,dod patient movement policy and program activity,2.0
6473,crisis,dod patient movement policy and program activity,0.0
6474,emergency,dod patient movement policy and program activity,0.0
6475,contaminate contagious patient,expose patient,2.0
6476,patient redistribution within the united states,expose patient,2.0
6477,asset recycling,support of pm requirement,0.0
6478,clinical and bed capacity consideration,mode of transport,0.0
6479,effective resource utilization,mode of transport,0.0
6480,collecting,function,2.0
6481,processing,function,1.0
6482,uniformed service member,the term,0.0
6483,the expeditionary civilian workforce,the term,0.0
6484,contingency contractor personnel,the term,0.0
6485,medical regulating,function,2.0
6486,pre hospital patient evacuation,function,2.0
6487,microscope,expensive item,2.0
6488,microscope,expensive item,2.0
6489,appropriate step,the educational phase of the program,0.0
6490,level of the united states medical licensing examination comprehensive medical licensing examination for physician,the educational phase of the program,0.0
6491,applicable exam,the educational phase of the program,0.0
6492,access to specialty care,standard,0.0
6494,follow up care,the medical and nursing treatment plan,0.0
6495,emergency care,2 tricare prime access standard,0.0
6496,the option of no treatment,all treatment option,0.0
6498,an independent system,mcsc,0.0
6499,expedite consideration for decision,timely resolution,0.0
6500,mm,protection of all dod it and information system,0.0
6501,network and cybersecurity standard,it standard,0.0
6502,hardware,the equipment,0.0
6503,the software,the equipment,0.0
6504,service,the joint capabilities integration and development system process,0.0
6505,the infrastructure of mtf,the mhs,0.0
6506,family member,treatment of eligible beneficiary,0.0
6507,individual,civilian provider,0.0
6508,fcc readiness activity,routine pre event participation in ndms,0.0
6509,ndms exercise,routine pre event participation in ndms,0.0
6510,training,routine pre event participation in ndms,0.0
6511,support,unoccupied hospital patient bed,2.0
6512,space,unoccupied hospital patient bed,2.0
6513,equipment,unoccupied hospital patient bed,0.0
6514,specific executive decision memorandum,departmental level agreement,0.0
6515,edm,departmental level agreement,0.0
6516,outpatient care,professional service,0.0
6517,the disability evaluation system,initiative,0.0
6518,the government accountability office,external agency,2.0
6519,representation,budget throughout the ppbs process,0.0
6520,their respective design and construction agent,the secretaries of the military departments,0.0
6521,the green guide for health,resource,2.0
6522,tricare contractor,2 coordinate with mhs point of contact,0.0
6523,the rc bcac,dcaos,2.0
6524,information,claim processing,0.0
6525,service specific relief organization,financial assistance resource,0.0
6526,faculty,service member to gme program,0.0
6527,support staff,service member to gme program,0.0
6528,trainee,service member to gme program,0.0
6529,personnel,sufficient resource,0.0
6530,licensure,clinical privileging standard,2.0
6531,audit procedure,a methodology,0.0
6532,clinical performance measurement,clinical quality management activity,2.0
6533,improvement,clinical quality management activity,2.0
6534,accreditation standard,these review,1.0
6535,national consensus measure,these review,0.0
6536,evidence base clinical practice standard,these review,0.0
6537,medical management guideline,these review,0.0
6538,laboratory result,cps,0.0
6539,any physical or psychological condition,medical condition,0.0
6540,two pair of prescription spectacle,additional item of medical equipment,1.0
6541,laser eye protection,additional item of medical equipment,2.0
6542,a lose medical record,health information,0.0
6543,an overdue pha,health information,2.0
6544,the drrs,line readiness relate reporting system,2.0
6545,care,tricare beneficiary,0.0
6546,coordination,the mtf,0.0
6547,identification of type of healthcare service,review,1.0
6549,humanitarian mission,support of the full range of military operation,0.0
6550,a shift to evidence base outcome,it,0.0
6551,referral management,the management of all healthcare resource,2.0
6552,an overview of at,provide training for cap representative,0.0
6553,cost saving,at activity,0.0
6554,both medical circumstance,compelling circumstance,0.0
6555,reserve component member,statute for critical mission relate health care service for designate service member,2.0
6556,payment for health care service in private facility to the extent,this authority,0.0
6557,appropriate interagency rate,appropriate reimbursement rate,0.0
6558,rate,appropriate reimbursement rate,0.0
6559,physician,the mtf,0.0
6560,register nurse,the mtf,0.0
6561,physician assistant,the mtf,0.0
6562,register dietitian,the mtf,0.0
6563,antibiotic prescribing,pharmacy expertise,0.0
6564,civilian employee,dod,0.0
6565,contractor personnel,dod,0.0
6566,dod,applicable regulation,0.0
6568,action,the uniform code of military justice,0.0
6569,justification for exception to the rule for reason of imminent danger,communication of private health information,0.0
6570,the relevant issue,commander dq statement,0.0
6571,the commander,senior leader,0.0
6572,the dq manager and mtf personnel,the dqat,0.0
6573,who,the dqat,0.0
6575,datum input,issue,0.0
6576,datum output,issue,0.0
6577,system security,issue,0.0
6578,deficiency,dha analysis of audit result,0.0
6579,code department oversight,4 processes,0.0
6580,continuous internal and external review,coding audits,0.0
6581,evaluation of code practice,coding audits,0.0
6582,webinar,educational activity,2.0
6583,conference,educational activity,2.0
6584,online code educational tool,educational activity,2.0
6585,enterprise manual,procedural and clarify enterprise guidance,0.0
6586,collateral registry duty,3 code process,0.0
6587,licensed physician,privileged provider,2.0
6588,advanced practice nurse,privileged provider,2.0
6589,physician assistant,privileged provider,2.0
6591,oral surgeon,privileged provider,2.0
6592,optometrist,privileged provider,2.0
6593,resident,privileged provider,2.0
6594,those provider,non privileged provider,0.0
6595,who,non privileged provider,2.0
6596,mental disease,the term physical disability,0.0
6597,the joint commission,accredit organization,2.0
6598,the va,federal agency,2.0
6599,component record,the dod health record,0.0
6600,the str,the component record,0.0
6601,the nstr,the component record,1.0
6603,all documentation,the str,0.0
6604,all require element,it,0.0
6605,the problem list,key element of the record,0.0
6606,documentation of care,key element of the record,0.0
6607,the medical examination,the initial element of the dod health record,0.0
6610,electrocardiogram tracing,supplemental documentation system,2.0
6611,report of medical testing,supplemental documentation system,0.0
6612,procedure,supplemental documentation system,0.0
6613,both report,procedure,0.0
6614,the va,non dod care provider,2.0
6615,case,indirect service,0.0
6616,care,all document medical dental and mental health care,0.0
6617,the medical examination,it,0.0
6618,associate internal and external record,personnel,0.0
6619,a living will,example,0.0
6621,mental health care documentation,all medical and dental care documentation,0.0
6622,all military personnel,a record in the deers database,0.0
6623,family member,a record in the deers database,2.0
6624,employee,a record in the deers database,2.0
6625,federal agency,participant,1.0
6626,state,participant,2.0
6627,record review,example,0.0
6628,record correction,example,0.0
6629,care in emergency room,outpatient care,0.0
6630,day surgery center,outpatient care,2.0
6631,ambulatory procedure clinic for patient,outpatient care,0.0
6632,who,outpatient care,0.0
6633,documentation of all outpatient appointment,it,0.0
6634,a list of all relevant diagnosis,2 documentation standard of the shpe,0.0
6635,a physician,exam,0.0
6636,physician assistant,exam,2.0
6637,all the information,minimum,1.0
6638,a comprehensive dod trauma registry,a full range of military operation,0.0
6639,facility,the jts,0.0
6640,equipment,the jts,0.0
6641,security,the jts,0.0
6642,development,activity,1.0
6643,monitoring,activity,2.0
6644,review of clinical practice guideline,activity,1.0
6645,datum,patient control datum,2.0
6646,home,external source,2.0
6647,personal medical device,external source,2.0
6648,destruction of datum,6 disposition guidance,0.0
6649,documentation,6 disposition guidance,0.0
6650,datum,phr,2.0
6651,engineer nanomaterial,hazardous chemical,2.0
6652,a requirement for the contractor,hazardous material,0.0
6653,training,hazcom support in area,0.0
6654,safety datum sheet,hazcom support in area,2.0
6655,sds,hazcom support in area,0.0
6656,multi employer site,foreign national employee,0.0
6657,laboratory chemical,hazardous chemical,2.0
6658,this label,hazardous chemical,0.0
6659,chemical,alternative labeling requirement,0.0
6660,provision,reprisal for participation in the soh program,0.0
6661,the location,soh information,2.0
6662,control implementation,risk,2.0
6663,supervision,risk,2.0
6664,nuisance noise,no medical effect,0.0
6665,nuisance odor,no medical effect,2.0
6666,eye irritation,supportive treatment,2.0
6667,sore throat,supportive treatment,2.0
6669,asbestosis,irreversible illness,2.0
6670,lung cancer,irreversible illness,2.0
6671,death,irreversible illness,2.0
6672,7 8 table,irreversible illness,2.0
6673,dod contractor personnel,contract language,0.0
6674,injury,bad consequence,0.0
6675,illness,bad consequence,2.0
6676,loss,bad consequence,2.0
6677,law enforcement use,critical duty,1.0
6678,a long sleeved shirt,protective clothing requirement,0.0
6679,jacket,protective clothing requirement,2.0
6680,long trouser,protective clothing requirement,2.0
6681,sport utility vehicle,yaw prevention on vehicle,2.0
6682,van,yaw prevention on vehicle,2.0
6683,non appropriate fund vehicle,all non tactical government maintain vehicle,0.0
6684,domestic dependent elementary and secondary school,the dod education activity,0.0
6685,dod dependents schools europe,the dod education activity,0.0
6686,dod dependents schools pacific,the dod education activity,0.0
6687,course,the dod education activity,0.0
6688,time on duty,risk factor,2.0
6689,the operator,risk factor,2.0
6690,a combat vehicle crew member helmet,head gear,2.0
6691,combat helmet,head gear,0.0
6692,a final conviction by a court,regulation,0.0
6693,court martial,regulation,2.0
6694,the u,activity,2.0
6695,injury,ground and industrial mishap,0.0
6696,the kawasaki mule,example,0.0
6697,polaris ranger,example,0.0
6698,contingency operation,the united states,0.0
6699,pre deployment health threat briefing,material,0.0
6700,hazard during military operation,any hazard,0.0
6701,field condition,live condition,0.0
6702,harden facility,live condition,0.0
6703,those hazard,document result of hazard assessment,0.0
6704,personal exposure monitoring,a variety of characterization method,0.0
6705,extrapolation of monitoring from operation,a variety of characterization method,0.0
6706,control option,exposure to health hazard,0.0
6707,implementation of step,exposure to health hazard,0.0
6708,change to task,work practice control,0.0
6709,maintenance,nonroutine operation,0.0
6710,emergency response,nonroutine operation,0.0
6711,recommendation in the appropriate installation hazard abatement plan,garrison health risk,2.0
6712,risk management plan,garrison health risk,2.0
6713,proper working condition,pertinent information about the job,0.0
6714,hazard,pertinent information about the job,0.0
6715,symptom of toxic exposure,pertinent information about the job,0.0
6716,good work practice,pertinent information about the job,0.0
6717,proper use,evaluate effectiveness of oeh control,0.0
6718,wear of ppe,evaluate effectiveness of oeh control,0.0
6719,work location,surrogate of exposure,0.0
6720,duty title,surrogate of exposure,2.0
6721,a change in production rate,additional information,0.0
6722,mission,additional information,0.0
6723,measurement,qualitative or quantitative information,2.0
6724,mathematical modeling,qualitative or quantitative information,2.0
6725,estimate,qualitative or quantitative information,2.0
6726,the protective effect,current exposure to health hazard,0.0
6727,refueling area,activity,2.0
6728,motor pool,activity,2.0
6729,flight line operation,activity,2.0
6730,hazardous material,activity,2.0
6731,physician,personnel,0.0
6732,nurse,personnel,0.0
6733,industrial hygienist,personnel,0.0
6734,act of terrorism,disaster,2.0
6735,associated standard,the dod nfirs program,0.0
6736,the summarization,the dod nfirs program,0.0
6737,analysis of f,the dod nfirs program,0.0
6738,visit for pre planning purpose,issue,0.0
6739,service,the requirement of the maa,0.0
6740,reserve apparatus,the number of apparatus,0.0
6741,the two in two out provision,cfr,0.0
6742,transportation,personal property,2.0
6743,support from mutual aid partner,risk consideration,0.0
6744,nominal value incentive,fire prevention and safety material,2.0
6745,telephone,the proper use of communication equipment,0.0
6747,fix wing aircraft,the use of aircraft,0.0
6748,helicopter,the use of aircraft,0.0
6749,aerial resource,the use of aircraft,0.0
6750,certificate of waiver,exemption,2.0
6752,environmental restoration,resultant cost,0.0
6753,restitution,resultant cost,0.0
6754,engine,component,2.0
6755,engine module,component,2.0
6756,military flight operation quality assurance datum,flight recorder raw datum,2.0
6757,freedom,any request,2.0
6758,aggregate datum,non privileged safety information,2.0
6759,sanitized report in lieu of privileged report,non privileged safety information,0.0
6760,aggregate datum,non privileged safety information,2.0
6761,sanitized report in lieu of privileged report,non privileged safety information,0.0
6762,upper stage,space vehicle operation,0.0
6763,upper stage,spacecraft operation after separation from all space vehicle component,0.0
6764,transfer motor,spacecraft operation after separation from all space vehicle component,0.0
6765,satellite command,support of orbital operation,0.0
6766,the u,activity,2.0
6767,diabetes,the lose time,0.0
6768,resultant complication like loss of vision,the lose time,0.0
6769,missile and ordnance firing,combat training,0.0
6770,arson,criminal act,0.0
6771,mishap during dod diving,the operation of a dod vessel,0.0
6772,swimmer,the operation of a dod vessel,0.0
6773,operation,the operation of a dod vessel,0.0
6774,uav,flight in the air,0.0
6775,inpatient hospitalization,occupational illness,2.0
6776,medical restriction to quarter,occupational illness,2.0
6777,aircraft,dod aircraft,0.0
6778,organization sponsor event,officially assign work,0.0
6779,an employee,officially assign work,0.0
6780,lunch,dod installation,0.0
6781,coffee,dod installation,0.0
6782,rest break,dod installation,0.0
6783,all activity,dod installation,0.0
6784,stage,individual major missile component,0.0
6785,guidance,individual major missile component,0.0
6786,control,individual major missile component,1.0
6787,section,individual major missile component,2.0
6788,all missile,this term,0.0
6789,draft,product,1.0
6790,final finding,product,0.0
6791,evaluation,product,0.0
6792,opinion,product,0.0
6793,preliminary discussion,product,0.0
6794,conclusion,product,0.0
6795,mishap cause,product,0.0
6796,product,it,0.0
6797,review,investigator,0.0
6798,endorsement,investigator,2.0
6799,booster,examples of space vehicle,0.0
6800,unmanned aerial vehicle,whose component,2.0
6801,military operation,requirement for the occupational ionizing radiation protection program for the dod in dod workplace,0.0
6802,base realignment,installation,0.0
6803,closure,installation,0.0
6804,mission purpose,system,2.0
6805,software control,the emf hazard,0.0
6806,frequency appropriate electrically insulated glove,ppe,0.0
6807,shoe for protection,ppe,2.0
6808,site specific hazard,the training must incorporate 1 initial training,0.0
6809,statement,the circumstance of the exposure incident,0.0
6810,a record of the current refraction,lens surgery,2.0
6812,vessel,industry in the private sector,0.0
6813,aircraft,industry in the private sector,0.0
6814,vehicle repair,industry in the private sector,0.0
6815,overhaul,industry in the private sector,0.0
6816,high personnel mobility,circumstance,0.0
6817,vehicle,85 dba,2.0
6818,a comprehensive audiological evaluation,pts,0.0
6819,compliance with monitor audiometry,track hcp compliance datum,0.0
6820,spl dba,2 suggested datum,0.0
6821,unweighted octave band level,2 suggested datum,0.0
6822,twa exposure determination,2 suggested datum,0.0
6823,a rapid rise of 40 db,the pressure time history of a single impulse,0.0
6824,continuous and impulse noise,the performance of military duty,0.0
6825,planning,the laser system life cycle,2.0
6826,design,the laser system life cycle,0.0
6827,procurement,the laser system life cycle,1.0
6828,testing,the laser system life cycle,0.0
6829,the milreps,the staff,0.0
6830,tps,ddesb publication,0.0
6831,change to this instruction,the services position on propose esmp relate issuance,0.0
6832,ddesb charter ipt,forum,2.0
6833,wgs,forum,2.0
6834,munition response action,dod military munition,0.0
6835,safety assessment,tool,2.0
6836,request for review of disapprove submission,4 raise ddesb ress relate matter,0.0
6837,waiver,specific deviation mechanism,1.0
6838,risk acceptance document,event waiver,0.0
6839,risk acceptance document,documentation,1.0
6840,risk acceptance document,documentation,1.0
6841,hazard analysis,a detailed systematic examination,0.0
6842,hazard evaluation,a detailed systematic examination,0.0
6843,risk determination,a detailed systematic examination,0.0
6844,provision of prioritize risk mitigation,a detailed systematic examination,0.0
6845,tps,ddesb issuance,0.0
6846,criterion,ddesb issuance,0.0
6847,guidance,ddesb issuance,0.0
6848,tool,ddesb issuance,0.0
6849,process,ddesb issuance,0.0
6850,range,example,0.0
6851,active and reserve component military personnel,all dod personnel,0.0
6852,the national incident management system,preparedness system,2.0
6853,initial response force,this synchronization,0.0
6854,response task force plan,this synchronization,0.0
6855,procedure,this synchronization,0.0
6856,communication,this synchronization,0.0
6857,training,this synchronization,0.0
6858,equipment,this synchronization,0.0
6859,synchronization of dsca,dsca policy,0.0
6860,the national bio defense,homeland security and homeland defense,2.0
6861,the domestic nuclear detection architecture,homeland security and homeland defense,2.0
6862,the office of the asd,interagency organization,2.0
6863,alignment of dod,synchronize dod at policy with the em program,0.0
6864,risk management methodology,area,2.0
6865,plan,area,0.0
6866,procedure,area,0.0
6867,communication,area,0.0
6868,mass casualty response,chaplain,0.0
6869,planning,chaplain,2.0
6870,acquisition,facility,1.0
6871,fielding,facility,2.0
6872,storage,facility,2.0
6873,replacement function,facility,2.0
6874,the testing,em issue,0.0
6875,evaluation of material solution,em issue,0.0
6876,unforeseen event,use in all emergency,0.0
6877,validation,9 support for individual with disability,0.0
6878,the national oceanic,exist accreditation program,2.0
6879,atmospheric administrations,exist accreditation program,2.0
6880,national preparedness campaign,individual and community preparedness,2.0
6881,facility survey for use in damage assessment,preparation,0.0
6882,training,the planning capability,0.0
6883,an overview of all aspect of subordinate em programs at the strategic and operational level with emphasis on mitigation,em program policy,0.0
6884,preparedness,em program policy,2.0
6885,appropriate dod,training,0.0
6886,certification,training requirement,1.0
6887,credentialing program for designate installation emergency manager,training requirement,0.0
6888,priority,factor,2.0
6889,level of response capability,factor,0.0
6890,the hazard,factor,2.0
6891,threat,factor,0.0
6892,vulnerability,factor,0.0
6893,government,equipment standard,2.0
6894,a nims resource type library tool,further information,0.0
6895,incident with cascade impact,threat,2.0
6896,a building polygon,a geospatial feature,0.0
6897,street centerline,a geospatial feature,2.0
6898,first responder,100 percent of assign em resource,0.0
6899,first receiver,100 percent of assign em resource,0.0
6900,emergency responder,100 percent of assign em resource,0.0
6901,after duty hour contact information,their personal contact information,0.0
6902,personal cellular phone number,their personal contact information,0.0
6903,landline phone number,their personal contact information,0.0
6905,emergency service,hn partner,0.0
6906,response and recovery partner,hn partner,0.0
6907,maa,these support agreement,0.0
6908,pre incident contract,support contract,0.0
6909,response authority,dsca response action,0.0
6910,the technical exchange of information,interoperability,2.0
6911,the end to end operational effectiveness of that exchange of information,interoperability,0.0
6912,all personnel on dod installation,the consistent provision of epi to the public,0.0
6913,mwn system,an incident via multiple pathway,0.0
6915,the identification of a comprehensive list of threat,the ahta process,0.0
6916,terrorist capability,threat,0.0
6917,possibility of non hostile incident,threat,2.0
6919,health,all major community support system,0.0
6920,social service,all major community support system,0.0
6921,housing,all major community support system,0.0
6922,infrastructure,all major community support system,0.0
6923,procedure,incident management,2.0
6924,an ics base model,option,0.0
6925,emergency support function,option,0.0
6926,recovery support function model,option,0.0
6927,multi agency coordination group,option,0.0
6928,a hybrid system,option,0.0
6929,hazard prediction,threat,2.0
6930,consequence,threat,2.0
6931,effect assessment,threat,0.0
6932,system,threat,2.0
6933,local mutual aid partner,partner agency,2.0
6934,first responder,partner agency,2.0
6935,the family assistance center,mass care operation,2.0
6936,emergency care,supplemental assistance,0.0
6937,installation community support system,establishment of the normal operating environment,0.0
6938,community planning,mitigation,0.0
6939,any area,recovery task at one or incident scene,0.0
6940,government facility,organization at multiple echelon,0.0
6941,a physical address,geographic location information,0.0
6942,specific geographic reference,geographic location information,0.0
6943,e,geographic location information,0.0
6944,solar flare activity,phenomenon,0.0
6945,ionospheric variability,phenomenon,2.0
6946,energetic particle event,phenomenon,0.0
6947,geophysical event,phenomenon,0.0
6948,uas groups,a standard requirement for acquisition of all man and unmanned aircraft,0.0
6949,uas,flight in the air,0.0
6950,aircrew performance,flight datum analysis,0.0
6951,host nation,a dod component,2.0
6952,who,associated documentation,0.0
6953,epidemiological review,medical datum source,0.0
6954,hazard,documentation of hra datum,0.0
6955,child development training module,responsibility,0.0
6956,program aid,responsibility,0.0
6957,management tool,responsibility,2.0
6958,selection of the high or low cost fee option,submit dod component specific request for waiver for any deviation from dod policy,0.0
6959,1a patron,any patron,2.0
6960,youth center,installation facility,2.0
6961,school,installation facility,2.0
6962,adult family member of fcc provider,youth in cdp,0.0
6963,an annual comprehensive health and sanitation inspection,local inspection,0.0
6964,annual comprehensive fire and safety inspection,local inspection,0.0
6965,a multidisciplinary inspection appropriate professional,local inspection,0.0
6966,youth recreation,a baccalaureate degree in a field of child or youth development,0.0
6967,physical education,a baccalaureate degree in a field of child or youth development,0.0
6968,elementary education,a baccalaureate degree in a field of child or youth development,0.0
6970,child development,a baccalaureate degree in a field of child or youth development,0.0
6971,apf,2 program administration,0.0
6972,naf financial management,2 program administration,2.0
6973,developmentally appropriate activity,child of age,0.0
6974,environmental observation,child of age,0.0
6975,pediatric cardiopulmonary resuscitation,emergency health and safety procedure,2.0
6976,cpr,emergency health and safety procedure,2.0
6977,child abuse prevention,orientation,0.0
6978,identification,orientation,0.0
6979,topic on child abuse prevention,procedure in child care,0.0
6980,respite child care,occasional intermittent care to child on an hourly basis,0.0
6981,exist child care facility,a myriad of delivery system,0.0
6982,school,a myriad of delivery system,0.0
6983,recreation,a myriad of delivery system,0.0
6984,equipment for riding,cdc playground,0.0
6985,ceiling tile,sound absorbing material,2.0
6987,a place for adult,the facility,0.0
6989,cpr for infant,certification in first aid treatment,0.0
6990,medicine,product,2.0
6991,cleaning,product,0.0
6992,supply,product,1.0
6994,police,emergency telephone number,0.0
6995,fire,emergency telephone number,2.0
6996,rescue,emergency telephone number,2.0
6997,poison control service,emergency telephone number,0.0
6998,pillow,soft cushion,2.0
6999,comforter,soft cushion,2.0
7000,thick blanket,soft cushion,2.0
7001,quilt,soft cushion,2.0
7002,bumper pad,soft cushion,2.0
7003,operate policy,family,2.0
7004,procedure,family,0.0
7005,age appropriate nutrition education activity in the curriculum,staff,0.0
7006,bottle for breast milk,an accountability system in place for bottle,0.0
7007,careful checking of reference of all potential employee,hiring practice,0.0
7008,terrorist attack,manage emergency,0.0
7009,age appropriate nutrition education,activity,2.0
7010,restriction on the provision of juice,snack,2.0
7011,beverage with add sweetener,snack,2.0
7012,limited high fat and salt food,snack,2.0
7013,bottle for breast milk,an accountability system in place for bottle,0.0
7014,the provider,six child per provider,2.0
7015,management,contact with child,2.0
7016,financial management,general management practice,2.0
7017,facility management,general management practice,2.0
7018,staff development,general management practice,0.0
7019,nap time,child at all time,0.0
7020,hospitalization,dental care,2.0
7021,serious injury,dental care,0.0
7022,medicine,potentially dangerous product,2.0
7023,pillow,soft surface,2.0
7024,quilt,soft surface,2.0
7025,thick blanket,soft surface,2.0
7026,lead,dangerous substance,0.0
7027,radon,dangerous substance,2.0
7028,special event,cdp,2.0
7029,activity,cdp,0.0
7030,wage,income,2.0
7031,salary,income,2.0
7032,tip,income,2.0
7033,long term disability benefit,income,2.0
7034,the national alliance for youth sports,sport,2.0
7035,any special need,health information,1.0
7036,medication,health information,2.0
7037,an orientation,this training program,0.0
7038,initial and annual competency base training course,this training program,0.0
7039,module,this training program,0.0
7040,training on positive youth development,a minimum of 12 hour of annual training,0.0
7041,youth adult partnership,a minimum of 12 hour of annual training,0.0
7042,summer camp,various area of the ys,0.0
7043,administration,various area of the ys,0.0
7044,field trip,various area of the ys,0.0
7045,close circuit television system,alternative protection,0.0
7046,policy,yp facility,2.0
7047,youth computer,technology program activity,2.0
7048,technology lab,technology program activity,2.0
7049,mental health service,installation,0.0
7050,substance abuse rehabilitation program,installation,0.0
7051,education transition,the unique challenge of military life,0.0
7052,duty relate parental separation,the unique challenge of military life,0.0
7053,the exceptional family member program,military family with appropriate resource,0.0
7054,the dod education activity,dod activity,0.0
7055,cyp,dod activity,2.0
7056,the installation youth sponsorship program,cyps,2.0
7057,any lease facility,activity under the jurisdiction of the secretary of a military department,0.0
7058,special event,yps,2.0
7059,activity,yps,0.0
7060,separation,a personnel action,0.0
7061,waiver,a personnel action,0.0
7062,assignment limitation,a personnel action,0.0
7063,cataract,any history of opacity of the lens,0.0
7064,the lung,examination of body structure,2.0
7065,diaphragm,examination of body structure,0.0
7067,asthma,hyper responsiveness,2.0
7068,reactive airway disease,hyper responsiveness,2.0
7069,open and endoscopic procedure,history of thoracic surgery,2.0
7070,right bundle branch block,history of conduction disturbance,2.0
7071,positive occult blood,history of gastrointestinal bleeding,0.0
7072,hospitalization,treatment,0.0
7073,intravenous therapy,treatment,0.0
7074,urge,incontinence of urine,0.0
7075,stress,incontinence of urine,0.0
7076,muscle atrophy,physical finding in the hand,0.0
7077,weakness,physical finding in the hand,0.0
7078,hallux valgus hallux varus hallux rigidus,condition,0.0
7079,hammer toe,condition,0.0
7080,edema,venous incompetence,2.0
7081,nevi or vascular tumor,history of congenital or acquire anomaly of the skin,0.0
7082,polymorphous light eruption,any primary sun sensitive condition,2.0
7083,solar urticaria,any primary sun sensitive condition,2.0
7084,lupus erythematosus,sunlight,2.0
7085,porphyria,sunlight,2.0
7086,xeroderma pigmentosa,sunlight,2.0
7087,mycosis fungoide,cutaneous lymphoma,2.0
7088,immunodeficiency,the immune mechanism,0.0
7089,the presence of a food specific immunoglobulin e antibody,tree nut,0.0
7090,calcinosis,progressive systemic sclerosis,2.0
7091,raynauds phenomenon,progressive systemic sclerosis,2.0
7092,venipuncture,vasovagal reaction with identify trigger,0.0
7093,schizophrenic disorder,history of disorder with psychotic feature,0.0
7094,delusional disorder,history of disorder with psychotic feature,0.0
7095,unspecified psychosis,history of disorder with psychotic feature,0.0
7096,mood disorder with psychotic feature,history of disorder with psychotic feature,0.0
7097,counseling,outpatient care,0.0
7098,unspecified personality disorder,any personality disorder,2.0
7099,maladaptive personality trait,any personality disorder,2.0
7100,counseling,outpatient care,0.0
7101,hereditary angioedema,history of angioedema,0.0
7103,stair,structure,2.0
7104,a ladder,structure,0.0
7106,a cargo net,structure,0.0
7107,pectus excavatum,dysfunction,2.0
7108,pectus carinatum,dysfunction,2.0
7109,diaphragmagtic defect,dysfunction,2.0
7110,dysmenorrhea,an identifiable diagnosis,2.0
7111,immunodeficiency with progressive clinical illness,the immune system,0.0
7112,an approve drug certify antibiotic or licensed biologic,product,1.0
7113,ingestion,stage,0.0
7114,digestion,stage,0.0
7115,absorption,stage,0.0
7116,transport,stage,0.0
7117,assimilation,stage,0.0
7118,excretion,stage,0.0
7120,food composition,nourishment,2.0
7121,the role,nourishment,0.0
7123,use under ind,uses of medical product by dod components,1.0
7124,appropriate record keeping,a specific medical protocol,0.0
7125,reporting of adverse event,a specific medical protocol,0.0
7126,a biological product,a drug,0.0
7127,a medical device,a drug,0.0
7128,the development of draft,appropriate planning activity,0.0
7129,eua request to the fda,appropriate planning activity,0.0
7130,the authority for restriction of movement,responsibility of the military installation commander,0.0
7131,the assistant secretary of defense for nuclear,applicable official,0.0
7132,chemical,applicable official,0.0
7133,biological defense programs,applicable official,0.0
7134,individual,beneficiary,0.0
7135,international public health emergency,global health,2.0
7136,individual,the affected population,0.0
7137,the release of a novel,intentional cbrne event,2.0
7138,the occurrence,public health emergency,2.0
7139,the imminent threat of an illness,public health emergency,0.0
7140,isolation,restriction of movement,0.0
7141,regular monitoring visit,the term of the order,0.0
7142,travel restriction,the term of the order,0.0
7143,no unapproved contact with non,rule requirement for the isolation,0.0
7144,appropriate exemption criterion,appropriate medical standard,0.0
7145,the etiology of the threat,the four pheic criterion,0.0
7146,public health significance,the four pheic criterion,0.0
7147,affected population,the four pheic criterion,0.0
7148,international impact,the four pheic criterion,0.0
7149,non dod system,otherwise applicable surveillance system,1.0
7150,the installation,medical stakeholder,2.0
7151,the national incident management system,integration with civilian authority,2.0
7152,incident command system,integration with civilian authority,0.0
7153,the national planning frameworks,integration with civilian authority,2.0
7154,dissemination of health protection measure,public affair risk communication,2.0
7155,routine hand washing,standard precaution,2.0
7156,cough on sleeve,standard precaution,2.0
7157,good diet,standard precaution,2.0
7158,exercise,standard precaution,0.0
7159,vaccination,standard precaution,2.0
7160,education,standard precaution,0.0
7161,the national incident management system,integration with civilian authority,2.0
7162,continuity of operation,related element,0.0
7163,dodi,service level requirement,1.0
7164,relevant dod,distribution procedure of all public health and medical materiel cache,0.0
7165,sns asset,distribution procedure of all public health and medical materiel cache,0.0
