Hyponym,Hypernym,Tag
combat,clothing item,
research,water resource materiel,
mou,procedure,
it and cybersecurity infrastructure,the DoD,
a layer,trench,
personnel,or contractor resource,
reference,a recognize standard,
whom,a civilian employee,
the Reserve Components,the Air Force,
humanitarian organization,customer,
DoD response,service,
the source,factor,
maintenance,management,
conversion,any mean,
who,Reserve Component capability,
local emergency,local emergency service,
lease administration,real property matter,
solicitation,activity,
the U,system,
training,development activity,
CDRUSSTRATCOM,the Combatant Commanders,
quantity,specific fuel delivery information,
quarter,installation facility,
stabilization support,DoD assistance,
stepchild,Children,
relative square footage,a reasonable basis,
MILCON project,element,
instruction,MPO personnel,
performance improvement,category,
disposition,mitigation procedure,
release,the disclosure,
environment,matter,
write notification,the training,
any state,entity,
TSN CC,all CII,
a primary care manager,any provider,
ongoing safety monitoring,case management,
format,NGRER,
laboratory,a DoD installation facility,
deploy and OCONUS environment,threat area,
official logo,graphic,
any safety critical implication,assessment and mitigation strategy,
property,Federal Government resource,
dvd,and arrangement,
project increase,Military Department,
the acquisition,mean,
fund,DoD,
scrap,200 pound,
deployment health support,contingency base support,
separation,activity,
venipuncture,identify trigger,
joint tactic,joint personnel recovery doctrine,
datum update,digital form,
the conduct,this Directive,
the content,variable,
tenant,activity,
club foot,congenital impairment,
participation,global force management,
orc,range usage,
supplemental mission fund,instrumentality,
training,country,
work,the FFRDC,
chemical,terrorist attack,
procedure,procedure,
high frequency,force protection mission,
planning,Combatant Commanders,
dietary guideline,nourishment,
reference,policy,
correction,system verification review,
commander,basic military gathering,
ipm factor,Pest control strategy,
continuity,and approve training requirement,
accounting policy,budgetary and fiscal matter,
research,conventional munition,
subject matter expert,provide assistance,
computer system resident,the system,
force,response,
operational stress,principle,
authority,the FACA,
equipment,capability,
member,military personnel,
region,a geographical location,
prototype,item,
the offensive use,combat power,
student personnel service,characteristic,
hydraulic lift tank,operational purpose,
foreign country unit,program,
milestone B,key acquisition decision point,
budget,the cap,
patrolling,basic military skill,
Army,military exchange,
drug,organized criminal activity,
cyber threat assessment,product,
the system engineering,numerous tool,
interoperability,facility,
sc,aids,
Secretary,relevant documentation,
any successor,any program,
magnetic separator,method,
the geographic CCDR forecast,SFA,
boundary defense,standard IA capability,
the human right verification information,nomination,
tail pipe,120 faulty equipment,
sexual assault,problematic behavior,
action,this enclosure,
information,skill,
gender,relevant demographic datum,
port,DTS infrastructure,
tool,DDESB issuance,
installation instruction,documentation,
MNA,site,
injury,injury,
cold climate,unique situation,
seminar,event,
vault,storage container,
port,or sea lift,
development,this issuance,
trend,PCA datum,
force structure,capacity,
tour,approve PA activity,
procurement,USSOCOM,
dia resource requirement,this Directive,
efficiency,the service,
chemical,and material,
a list,a minimum,
delivery order number,the contractor and contract number,
coordination,DSCA mission,
establishment,policy,
video recording,graphic art,
software,relate technical datum,
satellite,mediate instruction,
security,practical consideration,
jtf,activity,
AM datum management,a common DoD AM datum framework,
logistic,operational support,
logic bomb,blended threat,
nap time,all time,
provision,compliance,
oil,any hazardous substance,
DoD,procedure,
drum,a receptacle,
copper,nonferrous metal,
guidance and control section,individual major missile component,
aluminum,metal,
child abuse,crime,
contracting,operational support,
limitation,a personal capacity,
activity,associate program,
time,resource,
the United States,nation,
NWRM,CII,
code,formal joint PR training,
datum,contain technical datum,
corrective action,cleanup,
proficiency standard,model,
notification,required action,
the employment,operation,
criterion,DDESB issuance,
renewable,software,
retail supply,level,
physical security,a single authority and security policy,
employee,the DEERS database,
car,liaison vehicle,
hydrant,distribution system component,
justification,special datum extract,
a multidisciplinary assessment,developmental area,
health care provider,family,
special handling requirement,IS,
availability status,wideband satcom space segment component,
exist lease,real property agreement,
dog,not household pet,
CI,department,
U,State aircraft,
factor,climate change consideration,
programming,oversight,
application,software,
weapon,electronic and allied equipment,
international water,area,
trojan,blended threat,
5 year,service,
a social service,a government authority,
design,production,
complaint,the EEO process,
mixed system,the DoD,
cataloging,related service,
advertising,relation activity,
child,the customer participation,
access permission,that datum security requirement,
audiographic,mediate instruction,
volume,regulation,
the Service member,for which the total expect cost,
the school meal program,student activity,
difference,Inventory discrepancy,
storage,facility,
what,program,
DoDI,guideline,
the remittance,MOs,
website,collaborative tool,
terrorism,traditional method,
cooperation,the national level,
structure,article,
data collection method,the evaluation design,
equipment,security measure,
issuance,decision,
any technical stop,the flight,
ammunition,the DoD,
space,those service,
affordability,management priority,
service,all repair,
the Olympics,national and international sporting event,
CNWDI,RD,
physical security,matter,
the identity,each shipment,
terrain,environmental effect,
commander,Ensure personnel,
relevant labor relation statute,ethic principle,
waiver,this enclosure,
rail car,an external source,
video,mediate instruction,
oil,the military exchange,
Government benefit,subject,
a utility privatization agreement,the contrary,
exist commitment,DoD mission,
a review,major work sponsor participation,
bowling merchandise,service,
the DD Form,document,
specialize advisory,technical support,
allotment,dollar amount field,
airplane,vehicle sale,
the Senior Leader,response,
pay,dollar amount field,
technical assistance,a country,
support,risk consideration,
hydrant system,delivery mode,
direct cost,the datum call workbook structure,
a review,the PDBR,
the legislative and judicial branch,Federal Government agency,
direct QRP commodity,QRP operation,
billing,various purpose,
price,material master datum,
incident detection,standard IA capability,
education,violence prevention and response program,
reprisal,way,
incident,radiological matter,
electronic warfare,function,
manpower,annual requirement,
GPS,PNT system,
individual,the affected population,
the appropriate facility security officer,parent organization,
an MTF,a dod cover entity,
the Homeland Security Council,agency,
room assignment,service,
two control material,an extraction phase,
threat assessment,threat information,
sale,security assistance activity,
safety,concern,
weakness,the hand,
the medical condition,waiver,
security clearance service,and common support service,
bonus,than one monetary award,
lean fish,add fat,
initial fill,project storage change,
the condition,supplemental facility requirement,
special purpose,clothing item,
problem,personnel,
legislative investigation,budgetary and fiscal matter,
DoD contractor,DoD Components,
the direct level,goal,
purpose,consideration,
association,the community,
budget,activity,
decision point,program event,
travel restriction,the order,
emotional and spiritual support,referral,
Public Law,Public Laws,
TRICARE contractor,contact,
post engineer,installation service function,
automate data transfer,format,
law enforcement use,critical duty,
the specific circumstance,separation,
meal,activity,
residual MC,environmental contamination,
approval,tracking,
radish,seven fresh topping,
area,area,
hazard,risk management report,
formulary development,the entity,
DoD,broad authority,
train completion,pmpar,
Guard,Marine Corps,
the MEIR,educational course,
the name,the waiver,
travel,a day,
SR,designation,
posture and deployment plan,defense,
testimony,the legislative or oversight process,
medical readiness requirement,DoD medical program,
regular monitoring visit,the order,
admonition,corrective measure,
an analysis,application,
terrorist attack,report and managing emergency,
identification tag,item,
natural gas,energy supply,
victim service contract,procedure,
the rationale,remedy,
support,program,
complete delivery,postage,
recommendation,clinical review panel,
joint construction,RC MILCON project,
consideration,mission accomplishment,
narrative requirement,NGRER,
carcass,an infectious agent,
benefit,the IDES process,
simulation,that DoD analytical tool,
DoDI,FAP guidance,
missile tankage,container,
truancy,serious or repeated misbehavior,
classification,additional information,
supplemental material,a statement,
gross and net building area,item,
common interface,share enterprise service,
first responder,assign EM resource,
DoD,all DoD civilian personnel,
resilience,combat stress,
solar and geothermal facility,renewable energy resource,
the number,unaccompanied quarter,
fine,mean,
potential restriction,the Committee,
ccdr,high HQ,
a pipeline,an external source,
incarceration,mean,
write guidance,function,
handkerchief,article,
taxonomy,structural metadata,
subpoena,the judicial process,
the acreage,an MRA,
operation,this service,
detailed guidance,materiel,
research,defense and intelligence space activity,
transition,assistance,
an urn,a container,
watch,item,
datum standard,it standard,
slat armor,part,
campaign,award,
garrison clinic,any MTF,
the United States Coast Guard,Military Departments,
the final delivery location,factor,
painting,work function,
the Military Departments,DoD,
Teletypewriters,tdd,
program manager,acquisition official,
agreement,security assistance activity,
the time,customer,
enlistment,the Military Services,
aggregate datum or sanitize report,safety information,
special requirement,the DoD supply chain,
the Service member residence,any housing,
the Military Service Academies,all DoD entity,
initiative,DoD SBP,
DoD involvement,DoD assistance,
medical response,hazard,
missile,item,
fire,the lease,
the propose process,munition response,
the authorization inventory,the DoD,
the manufacture,item,
the procurement,nonconsumable item,
the complete VA disability examination result,finding,
SATCOM,communication,
radio,public medium,
hand soap,common use item,
identification datum,fund,
transportation protection system component,security requirement,
remedial or disciplinary action,change,
DoD SATCOM enterprise,service management requirement,
agency,factor,
combat,principle,
MA process execution,task,
information technology,materiel standardization,
the ability,program challenge,
earthquake,unusual event,
drama,or amusement,
band,military support,
development,defense and intelligence space activity,
table,datum,
any SCI,all SCI material,
any non,the installation,
PHI,control unclassified government datum,
satellite,the Earth,
emerge requirement,personnel level,
body part,an infectious agent,
assignee,another recipient,
grievance,matter,
transparency,legal regime,
substantial participation,activity,
code security,Electronic system,
decision,system,
any training,365 consecutive day,
donut,pastry,
maintenance,retirement,
stream,manufacturing area,
flight line operation,activity,
personal medical device,external source,
skill,trade,
manpower,administrative and common support service,
ship,defense mission,
American,standardization agreement,
the designation,policy,
landline phone,personal contact information,
service dog,all animal,
completion date,a material weakness,
patch,the software,
service dog,service dog,
development,conventional munition,
use,this instruction,
management,child,
jrmpo,liaison personnel,
liability,legal liability,
the resourcing,support requirement,
insurance requirement,nonrecurring demand,
the MIP,Defense,
statement,the exposure incident,
release,these release,
the cost,DoD materiel,
lodging,cost,
finance,activity,
intangible,the above specific description,
question cost,government,
record example,additional information,
camping,Outdoor Recreation Programs,
the environmental assessment,project documentation,
architectural analysis,threat environment,
defense,specific legal problem,
information,IT service,
support,national and international sporting event,
programming,Combatant Commanders,
military,assistance,
student,group,
model,release,
length,work force,
the development,the Certification Program,
location,a CPO,
name,certify official,
CBRN,military or national significance,
impact,stimulus,
transport exercise,Military Department and Service exercise,
coastal resource,complex issue,
incident,situation,
documentation,subcommittee,
a consultant,critical sensitive position,
personnel,asset,
staffing requirement,item,
a summary,promotion,
portfolio procedure,external content,
equipment,foreign area,
API,practice,
military police,detention operation,
authority,authority,
the background investigation,the required assignment eligibility screening,
USERRA education,the RC,
length,the prisoner sentence,
support,DSCA,
camouflage,trade,
design,design,
major contract,business strategy,
the DoD,continuity matter,
benefit,personnel,
certification,direct training requirement,
the data point,CFR,
audit plan,work,
midshipman travel,opportunity,
ration,service,
appliance,foreign area,
the Joint Culinary Center,formal DoD school,
procurement,activity,
recess period,activity,
level,factor,
ordnance handling equipment,ground item,
maintenance,reason,
contamination,contamination,
architecture,the DoD,
pen,those material,
quantity,historical DoD vaccine usage datum,
reviewable se,all se,
shortfall,plan,
JCS,adjudication,
unit,word,
AM datum management good practice,framework,
mechanism,user requirement,
the subsequent storage location,the LIMS,
specific warning,terrorist threat,
interface,federal regional headquarters,
job search method,skill,
Teletypewriters,TDDs,
the disposition,component,
capability,a minimum,
number,suitability,
assistance,office,
reliability,identify system engineering requirement,
vehicle,mission,
proper logon,IA procedure,
terminology,procedure,
update,the MPDATP,
individual,anyone,
supervisory or fiduciary role,employment,
the chassis,the bottom section,
vehicle,85 dba,
require delivery date,factor,
training,immunization,
worm,blended threat,
file,file,
North Atlantic Treaty Organization,fitting,
datum asset,service,
area,the installation cultural resource,
contract,agreement,
distribution line break,circumstance,
cost,activity,
DoD legal authority,issuance,
ferry aircraft,production assistance,
apparatus,personal property,
who,fund,
response,DSCA,
punctuation,the Defense Privacy Office,
all modification,an article,
intelligence supportability requirement,each mission,
the Secretary,time,
a dike,an impervious containment system,
datum source,document,
deployment,all military operation,
process,DDESB issuance,
unit cohesion,combat stress,
protective service agency,a government authority,
funding constraint,requirement,
saw,facility,
medical service,critical infrastructure,
executive development,area,
finger and voice print,biometric identifier,
liability,insurance coverage,
the collection,record,
national and international sporting,special event,
distribution,SLRG meeting,
medical support,White House function,
the Department,appropriate governmental agency,
maintenance,logistic action,
deterioration,physical or mental illness,
removal,provider,
military force tracking system,tactical edge emitter,
title IV,financial aid,
CBRNE advisory,emergency response support,
time,center,
hard drive,medium,
fact,knowledge,
Director,evaluation,
radiology,ancillary service,
medium,medium,
briefing,evaluation,
a statement,a factor,
applicable DoD civilian personnel,the DoD Components,
merit,regulation,
voice,technology,
development control,propose land use,
OEH,activity,
the scope,property,
boat,transport,
an itemization,the debt,
appointment,this issuance,
construction,project,
payment,residual value,
conflict,and debrief memorandum,
the Privacy Act,and DoD policy,
commute cost,program participant,
shipment,relocation assistance,
item,United States,
information,resource,
submarine,defense mission,
packaging,federal agency,
action,a mitigation plan,
private business entity,dod research institution,
management control,management system,
calcinosis,progressive systemic sclerosis,
approval,official purpose,
briefing,product,
reporting,the conduct,
blade wipe brush,additional chip removal equipment,
plan,area,
meter postage,stamp paper,
the requirement,EUA requirement,
any selective factor,form,
CPR,first aid treatment,
control objective,narrative,
single point,industrial capability risk,
detailed description,detail,
the access,this regulation,
drawing,all applicable technical datum,
compliance,duty,
development,activity,
software,Center,
healthcare professional,direct commission,
classification,table entry,
contract personnel,the FTDTL,
facility utilization,SCI implication,
improve tool,the DoD,
a foreman,individual,
insecticide,desiccant,
evaluation,USSOCOM,
coordination,leadership,
FL,pay plan,
equipment,thing,
item screening,resource,
any interagency,the PPAG,
control,critical enabler,
assembly,activity,
school,delivery system,
procurement,streamline procurement procedure,
sweet roll,pastry,
study trip,activity,
explosive,personnel,
review,program event,
relevant admission,result,
coastal zone management,issue,
any effect,DSCA,
prime contractor,the supply chain,
technical datum right,site specific long lead item,
the Defense Industrial Base,agreement,
record,this issuance,
blood banking,ancillary service,
luc,no further LTM,
the propose executive development plan,submission,
step,sister,
use,or nuclear energy,
hydrogen sulfide,volatile or acutely toxic industrial chemical,
the ROs,all relevant participant,
air,domain,
iodine,a halogen,
friction,stimulus,
personnel,component,
issue,storage activity,
focus area,CBRN MCRs,
MMP enclosure,coordination,
alternative,application,
two control material,each molecular amplification procedure,
enterprise service management,multiple service layer,
focus area,the CBRN mcr,
the assembly,finish,
also the area,item,
test,all technical document,
litigation,environmental restoration,
protection,CFR,
the mean,civic organization,
financial system,the DoD,
parent,channel,
safety measure,operating procedure,
volunteer,civilian MWR activity,
transferee,another recipient,
furnishing,item,
DSCA,mission,
magnesium,metal,
the mcio,DoD law enforcement organization,
acquisition,the DoD,
compliance,cleanup standard,
asset,testing,
the disposition,the decision,
rate,career progression,
belt,accessory,
the Secretary,additional regulation,
base realignment,and installation,
the Coast Guard,Navy,
OT,evaluation,
maintenance,support and C2 function,
the direction,the Armed Forces,
the OSD,time,
the rf output,rf output power,
content,content,
special act,personal effort,
the allege,a minimum,
distribution,DSLC meeting,
invoice,verifiable record,
Economy Act transfer,agency,
the facility,capability,
labor,food cost,
driver,factor,
pain medicine,prescription medication,
appointment,federal employment,
Joint Worldwide Intelligence,SCI system,
CDP director,CDP management personnel,
the occurrence,performance,
cooperative research,technology transfer,
hardware and software assurance,tool,
the use,DoD installation,
the protective effect,hazard,
medical logistic,MHS,
decision point,execution,
outcome,PCA datum,
facility,master space planning,
special or adapt bus,specialized equipment,
implementation,tribe,
MM,information system,
ethic,HSR,
organization,interested person,
award nomination,document,
the transmission,function,
PEB,the DES,
period,all time,
IMET,dod authority,
the result,the command,
component,developmental BMDS,
joint doctrine,development activity,
moulaged actor,when alternative,
Executive Orders,guidance,
spill response,regulation,
confidential source,the United States,
cap,the contract,
participation,public event,
security,concern,
case,operational and training deployment,
a foreign national,a foreign country,
equipment,related information resource,
military communication,function,
analysis,DIB CS activity,
equipment,asset,
stationery,minor value,
hazing,discrimination,
constituent type,the cost estimate,
DoD support equipment,nuclear weapon system,
a breach,multiple osd or DoD Components,
all immunization policy,CBRNE threat,
economist,researcher,
spill response,locally establish regulation,
initial network planning frequency allocation,function,
the processing,this instruction,
hospital food service program,all Departments military food service program,
DHS,agency,
PHI,information,
resource,related security cooperation,
matter,the information environment,
steel,nonferrous metal,
error estimate,datum accuracy,
description,this Manual,
a statement,documentation,
certification,mutual agreement,
impact area,operational range,
method,technical order,
global campaign plan,domain,
development,the USSS,
requirement consolidation,aerospace energy product,
vagrancy,serious offense,
guard,capacity,
and directive,and directive,
public awareness program,conservation method,
furniture,article,
water,resource,
cataloging,management,
Sigma,RD,
enterprise manual,procedural and clarify enterprise guidance,
guideline,skill,
tobacco product,article,
a company,a rider,
site status,environmental restoration phase,
certification number,certify pesticide applicator,
disorder,disorder,
action,the NLSC,
dla,DLA,
element,the DoD,
Program Objective Memorandums guidance,document,
minor construction,that adequate resource,
SNS asset,health and medical materiel cache,
the rehabilitation,goal,
an SES position,another government position,
user generate content,collaborative tool,
Special Operations Forces,Defense,
the military exchange organization,fund,
CWMD,assigned mission,
step,parent,
help,technical assistance service,
characterization,preparation,
the mtf,the DHA,
the appointment,the WHINSEC,
DoDI,cyber security policy,
local disaster purpose,civil defense,
klp,AWF position,
this one,classification guide,
the date,discovery,
SCI access control system,sap,
toothpaste,article,
TNT,main charge,
payment,pay component,
local audit,program,
tattoo,trait,
private security contractor,personnel,
area code,number,
buyer,a NAF procurement office,
ultimate disposal,all cycle,
elective requirement,program,
a sampling plan,the HRA report,
success,any mitigation effort,
munition,used military munition,
drunkenness,serious offense,
simulation,service,
agency,any DoD organization,
severe weather exposure,unusual event,
pressure vessel,commodity,
DISN,DODIN,
system engineering,test data stakeholder,
DoD 5500,regulation,
device,force materiel,
mishap,AE,
the member residence,housing,
the Military Services,this issuance,
wireless,the ICT infrastructure,
the software,the equipment,
assistance,request,
DoDIs,standard,
vaginal lubrication,arousal,
all relevant information,the case file,
the Government Industry Data Exchange,report system,
competency,experience,
study,use,
adherence,this instruction,
airspace,coastal States national airspace,
any Service member,any patient,
stapler,those material,
DOE,agency,
radiac,critical equipment,
silk,static generating stocking,
the military community,group,
acquisition,all materiel management cost,
dependency,component,
the Green Guide,resource,
patch,classified ISs,
heat exchanger,cool water system,
a submarine,a ship,
military morale,the service,
DoDD,applicable authority,
meeting,the North Atlantic Treaty Organization,
the Organization,security dimension,
DCEs,liaison personnel,
paper medium,specialized use,
testing,the rc,
communication,area,
any Federal Executive Agency,an employer,
management,transportation mode,
wear,OEH control,
overpack container,hazardous waste,
recreation,delivery system,
overseas contingency,allocate fund,
cost,the CBJB,
maintainability,identify system engineering requirement,
usage,the MRTFB,
internal airlift,tactical transport,
counseling,Federal personnel,
the quality,each facility,
need,a culturally diverse population,
student organization,student activity,
evaluation,program,
maintenance,service,
a member,a person,
the law,relevant international law,
year,factor,
education,the prisoner,
risk management,the process,
the information,a minimum,
name,the certification,
fire break,Grounds maintenance,
appropriate legal authority,plan information,
storyboard,item,
the fact,all the information,
current level,the target population characteristic,
regional planning effort,opportunity,
planning,management,
the Armed Forces Health surveillance,the Defense Health Agency,
internet auction,approach,
sexual misconduct,the DEP,
response,domestic emergency,
delivery,the detention facility,
disposition,time,
UAM standard,strategy,
the cost,oversight,
training museum staff,mean,
crew,node,
environmental permit,document,
the Commander,the Combatant Commanders,
risk acceptance,decision,
DoD,policy,
distribution,petroleum product,
internship,action,
technical assistance,Federal personnel,
U,associate subcontractor,
the DoD,the DoD Components,
maritime academy,educational activity,
a telework center,alternative worksite,
removal,method,
munition,support and C2 function,
the Office,intelligence information,
MoDA,nominative position,
background paper,all Committee report,
passport,requirement,
materiel return,disposition decision,
impact,factor,
vent,utility opening,
protester,external threat,
landing,production assistance,
one blank line,the second and subsequent grade,
textual document,file,
EM agency,HN partner,
any person,fund,
DoD,all personnel,
inspection,Administrative cost,
petroleum,energy supply,
the use,streamlined agreement procedure,
restriction,mean,
reparable component,supply,
the funding,assign logistic responsibility,
wired or wireless mode,any delivery method,
bonus,program,
associated list,all applicable technical datum,
secure room,storage container,
naval operation,military,
box number,the request record,
access,appropriate clinical support,
support,the United States,
batch size,factor,
ptd,template,
pipe,nonferrous metal,
information,nuclear weapon system surety standard,
DSCA,domestic operation,
the institution facility inspection,program review,
TJC reviewable se,all se,
concern,HSR,
graphic,material,
machine and metal repair,work function,
configuration change,the software,
contract,program,
execution,DoD PA,
airdrop,tactical transport,
law,Federal agency,
management,aircraft,
any meal period,official travel status,
noncompliance,term,
DBS,business activity,
use,nuclear weapon stockpile,
supply,area,
bulk explosive,munition,
water,utility distribution system,
procedure,security measure,
Munitions,MPPEH,
USN,military personnel,
sensor,deploy CDSs,
References,information,
the eHealth Exchange,exchange arrangement,
semen,fluid,
disestablishing,matter,
label,specialized use,
Navy,the SAPR Program,
the protection,this definition,
acquisition,any mean,
concession,food service venue,
technical manual,exist reference document,
specification,all applicable technical datum,
child development center,the DoD Components,
training,Federal personnel,
individual,individual,
labor,direct cost,
resource,FVAP,
questionnaire,instrument,
clerk,Support,
Army,the SAPR Program,
procedure,Engineering Program,
procedure,approval,
information,counseling,
aircraft,system,
planning,potential solution,
who,an interrogative,
major incident,practice,
training,annual requirement,
change,an operational range,
a homeless assistance planning board,nonprofit organization,
problem intervention,health service,
individual positional authority,the DoD Component,
tolerance,a critical feature,
order placement,business transaction,
the provider assessment,the Service member,
certificate,the Identity Protection Management Senior Coordinating Group,
all land,all site,
fall building debris,secondary blast effect,
salvage,service,
all know or suspect radiological contamination,the control area,
PHI,unclassified Government datum,
the DNI,agency,
the Unified Facilities Criteria Program,and resilience,
any safety precaution,the inventory record,
the delegation,this issuance,
contact,employment,
statute,various authority,
designate clerk,the facility,
pilonidal cyst,Persistent or recurrent symptomatic cyst,
FF,pay plan,
tie,accessory,
process,sustainment innovation,
bar coding,additional datum,
control,the warhead design safety feature,
spectrum,electronic warfare operation,
PFPA,week,
lead,sparking material,
authority,this directive,
carrot,seven fresh topping,
short message service texting,device,
WMM,all waste,
any communication,an agency,
mission purpose,system,
gyro,attachment,
procurement,the laser system life cycle,
property accountability record,resource,
consideration,source,
DTIC,the DoD repository,
acquisition,centralized service,
the territorial sea,and associate navigable water,
property accountability,administrative requirement,
those individual,the van or car pool principal member,
infectious disease,issue,
animal,living resource,
the U,all Armed Forces,
review,activity,
report,the appropriate authority,
consolidation,sustainable procurement indicator,
radio,communication equipment,
reference,applicable law,
decoy,application,
disruption,challenge,
mission rehearsal,Training,
desk support,system operation activity,
Active and Reserve Component military personnel,all DoD personnel,
parent,group,
the Center,the Health Sciences,
loss,discrepancy,
funding,the cap,
reply,correspondence,
task,facility,
local school,group,
radio,electronic and allied equipment,
development,process action,
replacement,any reason,
the District,the United States,
the frequency,periodic program review,
maintenance,NLW human effect,
organize event,service,
unofficial draft report,work product,
initial support,retail stock,
the standard,DoD network operation,
funding responsibility,a lead Military Department,
notice,the record,
the listing,the SAR,
design,materiel,
intelligence and security schoolhouse,learning,
violation,law,
troop movement,information,
the provision,assistance,
military qualification,component,
design,system,
open enrollment period,matter,
member,the Armed Forces,
concept,applicable documentation,
information,materiel,
Mark Center,the NCR,
genetic information,any information,
excerpt,MPS,
compliance,this instruction,
facility,that adequate resource,
force,the response,
Kenya,North Africa,
joint education and joint experience criterion,each level,
contractor,military medical treatment,
FN,pay plan,
procurement policy,responsibility,
the mandatory AAO,specific stratification position,
JIE,the DODIN,
the hearing committee,the hearing record,
precursor,the ambient air,
tag,specialized use,
copy,information,
land,resource,
applicable DoD civilian personnel,DoD Components,
building,propose contract facility,
justification,information,
business enterprise integration,program,
transportation,all materiel management cost,
pharmaceutical,resource,
phone,secure telephone,
the volunteer,any person,
pectus,dysfunction,
cyber and defense support,and CJCS guidance,
audit,the entire procurement and acquisition process,
active duty,the DoD,
regulation,information,
soil conditioner,a useful product,
sun,weather,
contingency,all military operation,
research,educational program,
receipt,effective fuel capability,
pesticide,integrate surveillance base management practice,
land combat vehicle,system,
emergency care,medical treatment,
amosite,mineral silicate,
hospital food service program,military food service program,
transfer,future real property asset,
President,formal position,
inventory,federal agency,
support,the Committees requirement,
rdt,activity,
application,system,
shipment,assistance,
discharge system,utility,
development,logistic matter,
foreign nation,continental United States,
law enforcement support,civilian law enforcement agency,
disposition,this issuance,
record acquisition,all need accounting function,
a Service,location,
all final combiner,spectral characteristic,
child abuse,violent alleged crime,
schedule effectiveness,DoD materiel,
the employment,defense,
employee,member,
all information,the report,
holiday,a month,
child development training module,and responsibility,
who,personnel,
CLS,and arrangement,
notification,pesticide exposure,
military and DoD civilians,all personnel,
product,requirement,
ammunition,excess DoD property,
terrorist,destruction,
allegation,or DoD civilian personnel,
Foreign Military Sales,security cooperation program,
volume,information,
cobalt,critical metal,
air filter,item,
the National Oceanic,program,
a record,lens surgery,
operate policy,family,
flood,adverse weather condition,
the development,service member,
lawn mower,item,
dissemination control,the overall classification,
source,anyone,
the person,the participant,
ballistic helmet,personal protective equipment,
exercise,all military operation,
a running,weight ticket,
DoD Directive,regulation,
those common support cost,WFS appropriation,
American National Standards,transportation,
political donation,relation activity,
surveillance,pest management operation,
engineer nanomaterial,hazardous chemical,
no action,substantiate complaint,
receipt,event,
logistic,DoD functional area,
welding,purpose,
secure storage,issa,
all access opening,all building,
mineral,Nonliving resource,
selection,procedure,
training event,assignment,
environmental protection,relate technical area,
that process,that information system,
cargo compatibility segregation,security concern,
storm runoff event,circumstance,
the battle management command,capability,
intermediate phase,the complete life cycle,
finding,package alcoholic beverage,
storage,operation,
collection,activity,
DoD,all DoD civilian personnel,
complaint,employment,
sealift,DTS infrastructure,
audit,work,
nitrogen,special gas,
heat stress,hazard,
the Military Service,Military Services special officer personnel procurement program,
wheelchair ramp,accommodation,
homeless assistance,an application,
issue,requirement,
wind,natural catastrophe,
the force expiratory flow,expiratory flow measurement,
heating,item,
carrier,component,
any applicable interpretation,the VASRD,
model,force materiel,
an index,the central repository,
coordination,this instruction,
employee,separate agency,
the requirement,summary,
designation,instruction,
application,a critical feature,
handling,investigative duty,
arrest,law enforcement function,
DoDDS,time,
depot maintenance,depot maintenance,
care,care,
DEMIL plan,documentation,
blast,initial nuclear weapon effect,
boat,vehicle sale,
drying,wastewater treatment facility,
rmt event,special operation activity,
name,pmp,
congressional reporting,authority,
tax collection action,complaint,
a mulch,a useful product,
collateral,information,
software,Information,
regular enlist member,Federal Government,
veterinarian,Army veterinary service personnel,
the National Guard,Designated Active and Reserve Component military personnel,
pressure,measurement device,
control,personnel,
the recommendation,the record,
activity,responsibility,
issuance,MASINT training,
terrorist capability,threat,
audits,a matter,
all program,the developmental BMDS,
Fisher Houses,Military Treatment Facilities,
the number,the CBJB,
newspaper,medium,
Part,Security and USCG directive,
SSC,the CPI effort,
natural disaster,event,
incentive type,Incentives,
cucumber,seven fresh topping,
civilian employee,DoD,
dryer,common area,
officer,any duty or training status,
the PKI,time,
development,training,
acting,field,
serialize part,DEMIL,
the 1978 MARPOL,the 1973 MARPOL Convention,
flyover,aerial demonstration,
the Global Command and Control System,system,
identity theft,crime,
fraction,a number,
title,a record identifier,
plating,work function,
countermeasure,countermeasure policy,
the case,time,
silicosis,fibrotic lung disease,
funding,resource,
end,wideband satcom space segment component,
while the rc,information,
DTD,an NTV,
supply class,material master datum,
government return,negotiate cost,
dco,liaison personnel,
production,program,
review,the FM Certification Program,
date,the delay,
denial,administrative sanction,
weather,movement,
hand tool,item,
related service,a FAPE,
raw explosive,military munition,
accounting service,area,
ad hoc task organization,DoD force structure,
hacker,external threat,
building shell,building,
the saudi Arabian,Middle East,
network and cybersecurity standard,IT standard,
information,injury,
all marking,the material,
Acquisition Program Baselines,Individual program documentation,
environmental restoration,resultant cost,
receipt,shipment,
an evaluation,grant,
the personnel office,support facility,
functional level,chain,
the Nuclear Weapons Stockpile Memorandum,annual report,
treaty,individual citizen,
passport application,document,
force structure requirement,defense,
conference,audience,
counterterrorism,operation,
contractor,personnel,
club house,facility,
cover contractor personnel,deceased personnel,
DoD,agency,
the release,service,
the promulgation,appropriate mean,
pit,manufacturing area,
the FGI,any information,
receipt,physical inventory action,
Alaska,the United States,
the Military Service Academies,service,
resuscitation,basic care,
pom submission,programming,
engineer,personnel,
research,contact,
service,item,
a fire evacuation,adverse condition,
parent,medical source,
policy,DoD materiel disposition policy,
upper stage,all space vehicle component,
name,IPMCs,
document destroyer,purpose,
the North Atlantic Treaty Organization Status,applicable international agreement,
dodds,regulation,
