,hyponym,hypernym
2733,victim,victim
2734,information,information
2735,select individual program,lodging program
2736,the facility lobby,highly visible area
2737,identification,all account establishment information
2738,oil residue,any oil content
2739,administration,the YS
2740,use battery,magnesium battery
2741,safety,the lease
2742,business rule,the CIP
2743,travel,a day
2744,statement,the grievance
2745,employee,member
2746,special nuclear weapon procedure,account
2747,cooling,operation
2748,a supervisor,individual
2749,network,IT standard
2750,policy,Medical Preparedness
2751,the development,all incident activity
2752,capability,DoD
2753,the standard,level
2754,frequency,publication
2755,solicitation,personal financial gain
2756,pipe,nonferrous metal
2757,complaint,the EEO process
2758,all matter,defense
2759,magnesium cutting rod,temperature cutting tool
2760,lumber,wood
2761,qualification,trade
2762,terrain,environmental effect
2763,identity theft,crime
2764,pandemic disease,large scale population health threat
2765,national leadership,critical enabler
2766,technical datum right,site specific long lead item
2767,maintenance,service
2768,skill,trade
2769,administration,management
2770,word,word
2771,donation,ensure transfer
2772,distribution,petroleum product
2773,parent,channel
2774,snow emergency,adverse weather condition
2775,authority,disaster
2776,maintenance,activity
2777,update,the MPDATP
2778,oversight,DoD network
2779,funding,the cap
2780,training,all military operation
2781,Reserve,word
2782,enhance communication protection,protective device
2783,the 1978 MARPOL,the 1973 MARPOL Convention
2784,component,developmental BMDS
2785,foreign nation,continental United States
2786,conplan,mef
2787,education,development activity
2788,resilience,combat stress
2789,a functional evaluation,a disability
2790,equipment,the JTS
2791,threat,information
2792,discussion paper,work product
2793,personnel strength,the operational support program
2794,waste stream,solid waste management
2795,QS,related service
2796,office,a resolution plan
2797,legal protection,limitation
2798,separation,punitive or administrative action
2799,the concealment,information
2800,environment,matter
2801,transmission,function
2802,support,management control
2803,nonappropriate fund activity employee,Defense
2804,information,injury
2805,AFHE system,deploy automation system
2806,creation date,attribute
2807,vaginal lubrication,arousal
2808,security,concern
2809,donut,pastry
2810,destruction,disposition authority
2811,representation,the PPBS process
2812,the release,service
2813,the role,position
2814,green pepper,seven fresh topping
2815,pressure,measurement device
2816,model,applicable datum
2817,graphic,material
2818,air,resource
2819,extreme environmental condition,factor
2820,dodds,regulation
2821,government furnish property,asset
2822,tomato,seven fresh topping
2823,cough,precaution
2824,the school meal program,student activity
2825,classroom,a DoD installation facility
2826,all Military Services,DoD Components
2827,lobbying,relation activity
2828,associate agreement,location development
2829,MDAS,material
2830,the CSC,activity
2831,missile tankage,container
2832,site history,medicine personnel
2833,the review,all legal matter
2834,description,this Manual
2835,professional meeting,training
2836,pad,manufacturing area
2837,carrot,seven fresh topping
2838,the town name,360 radius
2839,it standard,programmatic and technical guidance
2840,purpose,consideration
2841,equipping,security cooperation activity
2842,title,briefing slide
2843,related service,the idea
2844,U,associate subcontractor
2845,dia resource requirement,this Directive
2846,litigation,environmental restoration
2847,architectural analysis,threat environment
2848,packaging,federal agency
2849,adopt child,Children
2850,combat,clothing item
2851,personnel repository,DoD data system
2852,a family child care provider,an alternate care provider
2853,integration,project
2854,the member,function
2855,congressional reporting,authority
2856,the reason,the waiver
2857,early leak detection,conservation method
2858,the United States Coast Guard,mildep
2859,sexual assault,bodily harm
2860,the installation youth sponsorship,CYPs
2861,date,specific election
2862,prefix,the AFSC
2863,ability,merit factor
2864,cataract,the lens
2865,criminal act,serious or repeated misbehavior
2866,foreign government,industry
2867,mileage,extra cost factor
2868,who,personnel
2869,cold blooded animal,any live or dead vertebrate animal
2870,contractor,Pest management personnel
2871,report,the EC process
2872,development,technology transfer
2873,unofficial draft report,work product
2874,site status,environmental restoration phase
2875,DoD,CBRD RDA
2876,tissue,pathology waste
2877,the location,scene
2878,an airlift,demise JOA
2879,construction,any property improvement
2880,the territorial sea,and associate navigable water
2881,regulatory guidance,component
2882,action,this enclosure
2883,response,DSCA
2884,fact,knowledge
2885,U,the United States
2886,reception,meal
2887,the MDA senior,act
2888,condition code,material master datum
2889,any foreign military,person
2890,non,direct cost
2891,classify information,documentary material
2892,solid waste,discard material
2893,MA objective,MA goal
2894,stepchild,Children
2895,postcard,mail
2896,DoDD,dodis
2897,Equipment,a statement
2898,heat input,parameter
2899,business case analysis,Establishes mechanism
2900,solicitation,contract document
2901,this one,classification guide
2902,repair part,any equipment
2903,furniture,article
2904,broad agency announcement,Solicitations
2905,the Commandant,subordinate element
2906,training,prevention and response program
2907,requirement,Due process hearing
2908,allowance,dollar amount field
2909,WMM,all waste
2910,Part,Security and USCG directive
2911,standard,program
2912,DoD issuance,vehicle
2913,commander,that local community
2914,a school,organization
2915,measurement,documentation
2916,engineering,materiel
2917,a full range,active and passive security measure
2918,associate internal and external record,personnel
2919,paper,all write information
2920,calculation,document
2921,use,the warhead design safety feature
2922,TSN CC,inventory item
2923,contract,program
2924,ndst,civilian employee
2925,the responsible OSD PSA,command and staff channel
2926,fraction,a number
2927,contracting,operational support
2928,certification,mutual agreement
2929,support equipment,site specific long lead item
2930,access,detail
2931,child abuse,crime
2932,computer,equipment
2933,requirement,program inception
2934,passive RFID,automatic identification technology
2935,UII,require data element
2936,job search or residence search activity,relocation activity
2937,Defense Agencies,organization
2938,social medium,electronic communication
2939,spreadsheet,office automation package
2940,a statement,a factor
2941,electronic record,component record
2942,genetic information,any information
2943,the component,time
2944,associate security metadata,a minimum
2945,date,the delay
2946,a utility privatization agreement,the contrary
2947,precursor,the ambient air
2948,priority,factor
2949,the transfer,efficient transfer
2950,housing,reservation
2951,technology,the cost estimate
2952,withdrawal,real property agreement
2953,forum,personnel recovery issue
2954,blindness,visual impairment
2955,affordability,management priority
2956,subchapter M,regulation
2957,government return,negotiate cost
2958,portfolio procedure,external content
2959,site preparation,activity
2960,instructor,the DRMI
2961,the delegation,this issuance
2962,table service,food and beverage activity
2963,ita,eligible individual
2964,cyber survivability,cyberspace requirement
2965,Reserve component facility,military construction program
2966,silver service,equipment
2967,research,defense and intelligence space activity
2968,security protocol,additional system specification
2969,measurement,qualitative or quantitative information
2970,additional portion,conflict
2971,high school graduation,personal plan
2972,population,360 radius
2973,improve tool,the DoD
2974,order,administrative power
2975,utility,category
2976,employee,group
2977,supplemental sampling procedure,service
2978,graph,supplemental material
2979,translation support,service
2980,the infrastructure,multiple service layer
2981,nuclear and radiological incident,emergency
2982,adherence,airport
2983,distribution,operation
2984,return,postage
2985,the IG DoD,subpoena
2986,application,a critical feature
2987,CENTAF,a formal name change
2988,community,joint operation
2989,notice,the record
2990,patch management,classified ISs
2991,goal assignment,SBP goal
2992,specimen,transportation
2993,interest,the borrowing
2994,missile,the conventional military munition
2995,datum,contain technical datum
2996,tobacco product,article
2997,concert,event
2998,aids,marine safety
2999,return,chain
3000,all matter,DoD atomic energy activity
3001,flood and disease control,service
3002,DHS,agency
3003,rotation,purchase
3004,technical assistance,document service
3005,attendance,student
3006,communication service,utility service
3007,property accountability record,resource
3008,date,a record identifier
3009,acquisition,facility
3010,member,any individual
3011,transportation cost,official travel
3012,denial,administrative sanction
3013,the Secretary,a period
3014,recollection,the incident
3015,sufficient detail,the issue
3016,telephone,a user account
3017,cover contractor,deceased personnel
3018,the infrastructure,the MHS
3019,the disposition,the decision
3020,calcinosis,progressive systemic sclerosis
3021,defense,environmental restoration
3022,personnel,administrative and logistic support
3023,justification,information
3024,a synthesis,a write eligibility determination report
3025,the HIPAA Breach Rule,the Omnibus Final Rule
3026,overage,surplus serviceable item
3027,software control,the EMF hazard
3028,effort,the project level
3029,passport application,document
3030,FDR,GHE activity
3031,source,classified information
3032,appointment,this issuance
3033,the Service member,service treatment record
3034,authoritative direction,the command
3035,rain,weather
3036,CONUS,need
3037,platform integrity,it device security
3038,the National Incident Management,civilian authority
3039,NWRM,all CII
3040,friction,stimulus
3041,bowling resale,service
3042,denial,all authorization decision
3043,force,response
3044,reimbursement,compensation
3045,all immunization policy,CBRNE threat
3046,PII,unclassified Government datum
3047,technical assistance,Federal personnel
3048,Public Law,Public Laws
3049,American National Standards,transportation
3050,a pipeline,an external source
3051,periodic review,the IAC program
3052,mishap,DoD vessel
3053,training,mission program
3054,weapon,service
3055,Mark Center,the NCR
3056,advertising,relation activity
3057,applicable datum standard,the CIP
3058,require reporting,USPI
3059,military family housing,military facility
3060,aluminum,nonferrous metal
3061,border patrol,issue
3062,the Service regulation,authority
3063,analyst,a detainee
3064,adverse event,performance information
3065,bulk explosive,munition
3066,DIA,intelligence organization
3067,contracting,program
3068,the lease contracting officer,time
3069,human capital,the cap
3070,development,conventional munition
3071,the seriousness,reason
3072,street address,a state
3073,resourcing request,location development
3074,name,nominate unit
3075,surveillance,pest management operation
3076,information,IT service
3077,a clear explanation,ship transfer
3078,equipment,capability
3079,ADMN,single functional area assignment
3080,the local situation warrant,initial action
3081,the environmental assessment,project documentation
3082,design,system
3083,review,the FM Certification Program
3084,national emergency,requirement
3085,datum,the DoD
3086,a child development center,an alternate care provider
3087,report,the hearing
3088,book,public medium
3089,protection,task
3090,the assembly,finish
3091,Secretary,vehicle
3092,hardware,Center
3093,audit plan,work
3094,task,the contractor and contract number
3095,use,this instruction
3096,Active Component,all DoD capability
3097,standard profile,guidance
3098,testing,educational service
3099,analysis,DIB CS activity
3100,Vulnerability assessment,risk management report
3101,the National Intelligence Strategy,strategic guidance
3102,employment,goal
3103,the Office,intelligence information
3104,report,Military Department datum call
3105,selection,DoD policy
3106,DoDI,cyber security policy
3107,project increase,agency
3108,golf instruction,service
3109,step,sister
3110,TSN CC,CII
3111,dissemination,this regulation
3112,poster,graphic art
3113,teacher,group
3114,the redevelopment plan,an application
3115,dinner,meal
3116,information,skill
3117,causal linkage,the future
3118,family member,the DEERS database
3119,redesign,mean
3120,the employee,program
3121,Reserve,active duty
3122,missile and ordnance firing,combat training
3123,digital color quality,printing and reproduction service
3124,furnishing,the initial building
3125,support,military operation
3126,hydrant system,delivery mode
3127,network,that information system
3128,education,establish uniform professional qualification
3129,test calculation,the procedure
3130,originator,a record identifier
3131,study trip,activity
3132,risk,challenge
3133,procedure,Engineering Program
3134,delay,the scheduling
3135,steel,nonferrous metal
3136,MILCON project,element
3137,station,word
3138,direction,appeal procedure
3139,embezzlement,deceptive or illegal financial practice
3140,hardware and software assurance,tool
3141,control,critical enabler
3142,claim,States
3143,threat,security
3144,all response,intelligence continuity plan
3145,hand soap,common use item
3146,post exchange,official outlet
3147,room assignment,service
3148,the release,document
3149,rotational assignment,experience
3150,the Military Services,this issuance
3151,the development,transportation mode
3152,witness statement,the investigation report
3153,the Termination,the contract
3154,training,remote access
3155,feature motion picture,government entertainment medium production
3156,quality,datum
3157,scale,whether to buy or lease associate equipment
3158,tlo,management training
3159,the Service member residence,any housing
3160,security,consideration
3161,EPLOs,liaison personnel
3162,billet authorization datum,the DoD
3163,coastal zone management,issue
3164,apparatus,personal property
3165,research,conventional munition
3166,an RCA,review
3167,laboratory,capability
3168,compliance,an allegation
3169,demand,area
3170,regional center,initiative
3171,depot,any DoD organization
3172,demand response,various purpose
3173,correction,system verification review
3174,all manufacturing operation,circuit board
3175,expense,professional credential
3176,recommendation,cryptologic school
3177,brush,naturally occur fuel
3178,laboratory,a DoD installation facility
3179,healthcare professional,direct commission
3180,the exercise,this contract
3181,the military exchange organization,fund
3182,incorporation,initiative
3183,band,military support
3184,year,factor
3185,drum,a receptacle
3186,recruitment bonus,lump sum payment
3187,technical security countermeasure support,functional service
3188,supply support,management
3189,integration,redevelopment
3190,any violence,any abuse
3191,COMSEC,all equipment
3192,the DoD,organization
3193,NSS,IT acquisition
3194,distribution,USSOCOM
3195,debris removal,harbor
3196,military,capacity
3197,hard drive,medium
3198,punctuation,the Defense Privacy Office
3199,nafi,DoD Components
3200,financial disclosure,order
3201,keyboard,hard drive component
3202,agency,any DoD organization
3203,audiologist,practitioner
3204,the exchange,Online communication
3205,ferry aircraft,production assistance
3206,value,discrepant materiel
3207,pumpjack lubrication system,rotate equipment
3208,acquisition,all materiel management cost
3209,consideration,environment
3210,animal,living resource
3211,corrective action,the DDESB
3212,pesticide applicator,pmp
3213,useful service life,factor
3214,the development,this issuance
3215,the VA,dod care provider
3216,enhancement,industrial base responsiveness
3217,the requirement,student
3218,dissemination,record
3219,foreign,regulation
3220,the gca,final authorization decision
3221,any delay,the flight
3222,political subdivision,a foreign government
3223,S,program
3224,receipt,shipment
3225,legal action,event
3226,the severity,variable
3227,the volunteer,any person
3228,school availability,dependent
3229,conservation,environmental management
3230,the cause,time
3231,cigarette,consumption
3232,the complete VA disability examination result,finding
3233,research,DoD acquisition program
3234,performance,merit factor
3235,appropriate facility,administrative and logistics support
3236,label,supply
3237,raw explosive,military munition
3238,the contractor furnishing,matter
3239,the JLDP,time
3240,a block diagram,architecture
3241,DoD 5500,regulation
3242,the DoDs DIB Cybersecurity Program,information sharing activity
3243,Verizon,service
3244,size,item
3245,installation restoration,site
3246,the AT Working Group,requirement
3247,experimentation,defense
3248,the Society,organization
3249,Public Key Infrastructure or transport layer security,protective measure
3250,entitlement program,DoD missions
3251,evidence,evidence
3252,classification,table entry
3253,PBL,and arrangement
3254,orgasm,arousal
3255,transient housing,duty
3256,delegation,factor
3257,care,care
3258,finger and voice print,biometric identifier
3259,conflict,issue
3260,initiative,DoD SBP
3261,correspondence,surveillance documentation
3262,weapon,electronic and allied equipment
3263,the RC,the Military Services
3264,planning,management
3265,handkerchief,article
3266,conference,event
3267,military communication,function
3268,write guideline,nature
3269,a Developmental Evaluation Framework matrix,capability implementation plan
3270,pallbearer,honor
3271,policy,the DoD
3272,pain medicine,prescription medication
3273,the case,time
3274,volume,classified information
3275,evaluation,a systematic investigation
3276,name,pmp
3277,officer,class
3278,enlist member,all retire uniformed Service member
3279,ejaculation,arousal
3280,category,the system
3281,storage,or nuclear energy
3282,general identify datum,the childs cumulative folder
3283,TFI,CTOC analysis
3284,activity,SC activity
3285,theater SC program,the host nation
3286,research,CS and IA activity
3287,the employ organization,time
3288,name,activity
3289,scrap,487 pound
3290,the offensive use,combat power
3291,conditional,condition
3292,the United States,nation
3293,local mutual aid partner,partner agency
3294,record,suspension action
3295,transportation,area
3296,enlistment,a uniformed service
3297,the DoD,the DHA Privacy Office
3298,poster,medium
3299,the background investigation,the required assignment eligibility screening
3300,the JDF,process
3301,supply chain risk,identify risk
3302,taxonomy,structural metadata
3303,guide,Control measure
3304,development control,propose land use
3305,landing,production assistance
3306,school,delivery system
3307,local emergency,local emergency service
3308,newspaper,medium
3309,the possibility,action
3310,belt,accessory
3311,secretarial review,30 day
3312,unauthorized access,information
3313,masking,technique
3314,information technology,Defense
3315,scope,Construction and renovation plan
3316,symptom,the job
3317,the role,the military justice system
3318,charity fair,event
3319,the chassis,the bottom section
3320,training,all military planning effort
3321,Vietnam,country
3322,reutilization,the Defense Material Disposition Program
3323,snap requirement,programming
3324,DoD contractor,detainee debriefer
3325,AM datum management,a common DoD AM datum framework
3326,evidence,time
3327,facility,property
3328,utility,space
3329,laundry,specialized logistics service
3330,the Armed Forces Health surveillance,the Defense Health Agency
3331,the final delivery location,factor
3332,risk,event waiver
3333,web server,DoD information system
3334,hand tool,item
3335,information,claim processing
3336,a UIC,a single entity
3337,PHI,information
3338,incentive type,Incentives
3339,consultant,pay
3340,fabrication,USSOCOM
3341,terrorist capability,threat
3342,postage value imprinter,stamp paper
3343,qualify event,international amateur sport competition
3344,bonus,program
3345,a suite,segregated work area
3346,drug,organized criminal activity
3347,hospitalization,TDRL examination
3348,allegation,or DoD civilian personnel
3349,action,Military Justice
3350,international agreement,element
3351,release,contingency location
3352,application,principle
3353,cracker,external threat
3354,material,cost index
3355,final cost,that order
3356,purpose,management training
3357,the geographic CCDR forecast,SFA
3358,memorandum,channel
3359,the assistance,procedure
3360,security,practical consideration
3361,vocational training,goal
3362,the recommendation,the record
3363,personnel,security discipline
3364,FCC readiness activity,NDMS
3365,datum,specific item and item population
3366,associate joint container,all DoD intermodal container system
3367,tool,resource
3368,rat,any live or dead vertebrate animal
3369,personnel,security policy matter
3370,construction,project
3371,bus and rail station,transportation point
3372,an itemize cost breakdown,cleanup completion
3373,the funding,assign logistic responsibility
3374,type,information
3375,storage,nuclear weapon stockpile
3376,the identity,all specimen testing
3377,demand frequency,characteristic
3378,patch,the software
3379,the exchange,system
3380,DSCA,domestic operation
3381,PCO,responsible personnel
3382,DEA certification,the civilian community
3383,merit,regulation
3384,who,pay
3385,paper,form
3386,disclosure,accounting
3387,DIB activity,expeditionary assignment
3388,Alaska,the United States
3389,regular enlist member,Federal Government
3390,related service,a FAPE
3391,joint construction,RC MILCON project
3392,transit time,factor
3393,training,ORTA personnel
3394,organize event,service
3395,variety show,or amusement
3396,the specific implementation,the DoD STIP
3397,veteran,national organization
3398,simulation,this issuance
3399,installation,management
3400,whole number,a number
3401,the Green Guide,resource
3402,communication activity,Vice President
3403,forensic,service
3404,TA counseling,educational service
3405,an index,the central repository
3406,business,the cover entity
3407,support,risk consideration
3408,property administration,Perform contract administration function
3409,the concerned Military Department,DoD
3410,CQA,related service
3411,planning,the laser system life cycle
3412,TNT,main charge
3413,current contract,facility
3414,the file name,the web site
3415,ongoing safety monitoring,case management
3416,joint supplementation,specific need
3417,interim control,various method
3418,responsiveness,factor
3419,DODIN operation,cyberspace operation policy
3420,feeding,pet care
3421,GFP,the contract
3422,cadet,initial entry training status
3423,meteorology,the site
3424,advertising,personal financial gain
3425,Service,the Joint Capabilities Integration and Development System process
3426,cohabitant,family
3427,equipment selection,engineering principle
3428,membership drive,enterprise
3429,transportation protection system component,security requirement
3430,mission assurance coordination board,guidance development process
3431,street centerline,a geospatial feature
3432,civilian,military medical treatment
3433,leadership,duty
3434,specific warning,terrorist threat
3435,AM datum management good practice,a common DoD AM datum framework
3436,the economic analysis,project documentation
3437,the MEB,the DES
3438,sale,transfer
3439,NDMS exercise,NDMS
3440,engagement,amphibious operation
3441,note,note
3442,cargo,ntv
3443,domestic violence,violent alleged crime
3444,member,this Iinstruction
3445,young child,parenting
3446,faculty,channel
3447,activity,responsibility
3448,commercial training simulation,when alternative
3449,propellant material,AE
3450,fielding,facility
3451,remain container,the containment system
3452,any lease facility,Defense
3453,elevator,fix equipment
3454,operation security,DoD IT
3455,Conseil International du Sport Militaire,national and international sporting event
3456,a syllabus,outline
3457,negative impact,the request
3458,facility design,engineering principle
3459,development,logistic matter
3460,the NDMS,system
3461,tank truck,delivery mode
3462,those individual,the van or car pool principal member
3463,the certification,asset
3464,medium,the cost estimate
3465,handicapped person,interested person
3466,is,the IT
3467,gift,USS
3468,DoD network,Center
3469,the Military Service Academies,service
3470,training,the planning capability
3471,type,each propose program
3472,the release,intentional CBRNE event
3473,capability,the CSA
3474,the Joint COMCAM Program,the DoD VI program
3475,the Military Service Academies,all DoD entity
3476,chiropractor,practitioner
3477,security cooperation,mission
3478,historical researcher,the Military Services
3479,management,the DoD Components
3480,finance,functional area
3481,CAE,performance result
3482,change,mean
3483,standard profile,programmatic and technical guidance
3484,application development,service
3485,gain,discrepancy
3486,resource,support YRRP
3487,the direct level,goal
3488,the Federal Aviation Administration,certification
3489,U,applicable law
3490,the liner,landfill design
3491,duration,table entry
3492,the United States,country
3493,DoD,various authority
3494,the Global Command and Control System,system
3495,the allocation,operational support
3496,focus area,CBRN MCRs
3497,any alternative action,operation
3498,success,any mitigation effort
3499,exist commitment,DoD mission
3500,the employee,public agency
3501,budget,the cap
3502,criminal and family court judge,civilian community agency
3503,attention,phrase
3504,CUI,information
3505,user,procure agent
3506,coordination,coordination
3507,transponder,Transportation Safety Board modification
3508,amputation,cause
3509,access,capability
3510,staff,an FAO
3511,electricity,utility service
3512,perceptual disability,term
3513,NWRM,inventory item
3514,the recovery,that range clearance activity
3515,clothing,item
3516,capital,manage revenue
3517,support,intelligence analysis support
3518,chemical coagulation,direct filtration Water treatment
3519,high profile,initiative
3520,rmt event,special operation activity
3521,research,any systematic investigation
3522,requirement,CONOPS
3523,the development,program
3524,airlift,DTS infrastructure
3525,right,any person
3526,ship,some program
3527,availability status,wideband satcom space segment component
3528,plan,area
3529,train completion,pmpar
3530,dependency,component
3531,all DDS personnel,Oversees DDS operation
3532,acquisition,command awf position
3533,communication equipment,installation
3534,culture,microbiology waste
3535,enterprise level,chain
3536,cutlery,household good
3537,school,channel
3538,validation,disability
3539,adequacy,item
3540,program,component
3541,contracting,project
3542,USAID,and agency
3543,the European Union,security dimension
3544,participation,public event
3545,requirement,the DoD acquisition process
3546,saving,subject
3547,homeless assistance,an application
3548,a workforce,the business associate
3549,policy,key enabler
3550,Explosives,MPPEH
3551,equipment,Deploy agency capability
3552,employee right,employment
3553,AIT,SIM capability
3554,acquisition strategy,activity
3555,communication,critical infrastructure
3556,it,related information resource
3557,target milestone,a material weakness
3558,presidential transportation,White House function
3559,contracting officer,Perform contract administration function
3560,contractor,all personnel
3561,port,DTS infrastructure
3562,a telework center,an alternative worksite
3563,visitor,operation
3564,basin,manufacturing area
3565,DoD contractor,all DoD civilian personnel
3566,contractor,DoD
3567,space,item
3568,accusation,destabilizing event
3569,require corrective measure,the inventory
3570,training area,a contingency location
3571,storage,effective fuel capability
3572,development,all technical document
3573,estane,plastic binder
3574,equipment,resource
3575,authority,authority
3576,naturopath,practitioner
3577,the function,Immunization Program
3578,United States,the Combatant Commanders
3579,warrant,the judicial process
3580,law,Federal agency
3581,member,the Committee
3582,installation,protection
3583,record folder,the file plan
3584,the Defense Supplies,relate Reconstruction Finance Corporation entity
3585,release,these release
3586,the collection,public health surveillance activity
3587,photograph,detail
3588,insider threat analyst,personnel
3589,network,it standard
3590,a ladder,structure
3591,matter,Cyber Command
3592,early user assessment,user testing
3593,radio,communication equipment
3594,current level,the target population characteristic
3595,building shell,building
3596,sun,weather
3597,execution,Combatant Commanders
3598,a justification,IMMC chair
3599,arrest,law enforcement function
3600,evaluation,service
3601,the development,the Certification Program
3602,PHI,control unclassified government datum
3603,state,state active duty status
3604,reporting,DC3 activity
3605,affirmation,the RC member
3606,operation,cost
3607,any successor,any program
3608,investigator,the EEOP staff
3609,medical record,information
3610,audits,law
3611,resource,component
3612,an itemization,the debt
3613,NSSEs,special event
3614,laboratory chemical,hazardous chemical
3615,pattern,all applicable technical datum
3616,any non,the installation
3617,work,government
3618,drying,wastewater treatment facility
3619,component,security
3620,technical assistance,country
3621,service,item
3622,all operation and maintenance cost,the Regional Centers
3623,civilian personnel,establish facility
3624,DCEs,liaison personnel
3625,presidential protection,the USSS
3626,organ donation,any surgery
3627,klp,AWF position
3628,authority,this directive
3629,industry,thing
3630,safety,human health
3631,tire,the military exchange
3632,service,personal effort
3633,information,electronic communication
3634,who,victim
3635,the designation,policy
3636,Guard,Marine Corps
3637,valid courier authorization,document
3638,electronic game,government entertainment medium production
3639,college degree holder,high priority
3640,antiterrorism effort,public safety capability
3641,training area,appropriate location
3642,youth computer,technology program activity
3643,mishap,AE
3644,CL submission,SC certification activity
3645,adjudication history,datum
3646,defective exhaust,faulty equipment
3647,Foreign Military Financing,dod authority
3648,the finding,revise safety rule
3649,concentration,the cost estimate
3650,focus area,the CBRN mcr
3651,response,domestic emergency
3652,DoD,the DES
3653,defense,specific legal problem
3654,removal,provider
3655,paper medium,specialized use
3656,the mtf,the DHA
3657,service member,deceased personnel
3658,a def matrix,implementation plan
3659,quarry,facility
3660,country,a geographical location
3661,DoD Language Training Centers,education program
3662,the publication,appropriate mean
3663,cost datum,distribution datum
3664,the initial,the claim
3665,inventory,federal agency
3666,commercial system,Interfaces
3667,the GED,a test
3668,funding level,program
3669,EM agency,HN partner
3670,EDRS,single functional area assignment
3671,the circumstance,the propose separation
3672,development,defense and intelligence space activity
3673,name,certify pesticide applicator
3674,interface,federal regional headquarters
3675,monetary reward,mechanism
3676,disciplinary action,personnel action
3677,an explanation,the change
3678,the fuel manager defense,deploy automation system
3679,hurricane,natural disaster
3680,any support affidavit,the propose action
3681,speed,consideration
3682,TPs,publication
3683,commute cost,program participant
3684,letter,formal communication
3685,an MTF,a dod cover entity
3686,the United States,any country
3687,DASD,the EIC
3688,commercial trade name,PCBs
3689,those operation,the GSLB
3690,biological control,substance
3691,regional planning effort,opportunity
3692,incident detection,standard IA capability
3693,all deployment,addition
3694,pilonidal cyst,Persistent or recurrent symptomatic cyst
3695,military contingency,policy and program activity
3696,the National Guard,component
3697,gold,critical metal
3698,equipment,Federal Government resource
3699,continuous and impulse noise,military duty
3700,terminology,procedure
3701,DoD contractor,all personnel
3702,mandrel,Coating metal surface
3703,training,civil sar function
3704,HMX,explosive powder
3705,natural gas,energy supply
3706,the unauthorized removal,illegal act
3707,statute,information
3708,automate information system,an automated capability
3709,flight cancellation,movement
3710,the MEIR,educational course
3711,false alert prevention,emergency beacon
3712,an overview,EM Program policy
3713,digital signature,electronic data interchange technology
3714,an administrative subpoena,an administrative request
3715,military flight operation quality,flight recorder raw datum
3716,repose,interment JOA
3717,transfer,the Defense Material Disposition Program
3718,OMB Memorandums,relate OMB guidance
3719,removal action,response action
3720,Director,evaluation
3721,file,file
3722,gain,fund
3723,search,civilian law enforcement activity
3724,payment,residual value
3725,accountability,IS
3726,issue,requirement
3727,Downgrade,instruction
3728,structure,article
3729,oversight,the DoD security program
3730,the conduct,the SE program
3731,hazard,any hazard
3732,administrative separation,disciplinary action
3733,housing type,suitability
3734,who,any patient
3735,ally system,weapon system
3736,the intelligence and counterintelligence element,intelligence information
3737,legal personnel,family
3738,civilian employee,DoD civilian personnel
3739,complaint,employment
3740,salvage,service
3741,any software,document system connectivity
3742,private security contractor,personnel
3743,educational status,relevant demographic datum
3744,personnel,sufficient resource
3745,migraine,normal functioning
3746,program,subcontractor
3747,equipment,security measure
3748,planning,the conduct
3749,league bowling,service
3750,printer,hard drive component
3751,public school,public school
3752,technology lab,technology program activity
3753,UC,DoD Components operational requirement
3754,ammunition product,security
3755,an MTF,cover entity
3756,dvd,and arrangement
3757,associated safety,capability
3758,placard,case
3759,swim pool,facility
3760,trend,PCA datum
3761,death,event
3762,consolidation,sustainable procurement indicator
3763,AT pay,associate cost
3764,suite,word
3765,document,all write information
3766,the partial processing,OUID registry error condition
3767,pipeline,commodity
3768,DoD,ig
3769,DoD contractor,DoD Components
3770,the review process,the hiring process
3771,any successor,another recipient
3772,the condition,supplemental facility requirement
3773,the Directors,Comnonents
3774,ureterocystostomy,Ureteral abnormality
3775,retention,and sd form
3776,DSCA,mission
3777,test center,organization
3778,tin,nonferrous metal
3779,contract,key enabler
3780,radio,public medium
3781,time,center
3782,a social service,a government authority
3783,assembly,activity
3784,pier,facility
3785,tour,approve PA activity
3786,the DoD,mission and security requirement
3787,acquisition planning,support function
3788,U,State aircraft
3789,those emergency,civil authority
3790,duct,the air
3791,research,subsistence support
3792,function,afn broadcast purpose
3793,support,GCMC
3794,foreign disclosure requirement,regulation
3795,backhaul,bunker contract ancillary service charge
3796,satellite,the Earth
3797,textual document,file
3798,high frequency,force protection mission
3799,insurance,subject
3800,deletion,the United States
3801,composition,the MRTFB
3802,guideline,education and training policy
3803,removal,disciplinary or adverse action
3804,resource,FVAP
3805,relative square footage,a reasonable basis
3806,script,process component
3807,port,or sea lift
3808,section,this issuance
3809,part,and requirement
3810,mt,civilian employee
3811,earthquake,a single incident
3812,food service,mission program
3813,ladderwell,structure
3814,telephone,Telecommunications line
3815,financial challenge,stressor
3816,execution,arm control agreement
3817,service dog,all animal
3818,welding,purpose
3819,victim,appropriately skilled professional
3820,line,an EFAC staffing structure
3821,support,program
3822,testing,any systematic investigation
3823,range,datum accuracy
3824,the acreage,each BRAC 2005 location
3825,telephone service,support service
3826,cathodic protection system,commodity
3827,flood,a single incident
3828,an installation,occasion
3829,laboratory,facility
3830,improve timeliness,efficiency improvement
3831,the propose process,munition response
3832,the identity,each shipment
3833,assessment,potential solution
3834,information,facility
3835,natural disaster,increase vulnerability
3836,private security contractor,defense contractor personnel
3837,choral group,military support
3838,IPEB,TDRL case
